"Año","Trimestre","Provincia","Velocidad","Accesos"
"2025","4","Córdoba","499","7"
"2025","4","Córdoba","500","17.807"
"2025","4","Córdoba","50,1","1.087"
"2025","4","Córdoba","512","21"
"2025","4","Córdoba","600","17.053"
"2025","4","Córdoba","700","3"
"2025","4","Córdoba","800","43"
"2025","4","Córdoba","850","1"
"2025","4","Córdoba","940","239"
"2025","4","Córdoba","1000","5.799"
"2025","4","Córdoba","100,1","3"
"2025","4","Córdoba","226,5","41.535"
"2025","4","Córdoba","300,5","2"
"2025","4","Córdoba","50,25","7"
"2025","4","Córdoba","100,25","20"
"2025","4","Corrientes","0","30.518"
"2025","4","Corrientes","1","1.806"
"2025","4","Corrientes","2","1.733"
"2025","4","Corrientes","3","2.793"
"2025","4","Corrientes","4","1.666"
"2025","4","Corrientes","5","3.044"
"2025","4","Corrientes","0,5","10"
"2025","4","Corrientes","6","3.863"
"2025","4","Corrientes","8","4.999"
"2025","4","Corrientes","10","5.045"
"2025","4","Corrientes","12","8"
"2025","4","Corrientes","15","647"
"2025","4","Corrientes","16","2.729"
"2025","4","Corrientes","20","1.120"
"2025","4","Corrientes","25","1.576"
"2025","4","Corrientes","30","820"
"2025","4","Corrientes","3,5","476"
"2025","4","Corrientes","40","4.625"
"2025","4","Corrientes","50","4.671"
"2025","4","Corrientes","0,51","57"
"2025","4","Corrientes","0,75","118"
"2025","4","Corrientes","100","51.420"
"2025","4","Corrientes","150","7.664"
"2025","4","Corrientes","200","1.345"
"2025","4","Corrientes","300","56.613"
"2025","4","Corrientes","500","1.903"
"2025","4","Corrientes","600","1.159"
"2025","4","Corrientes","800","263"
"2025","4","Corrientes","1000","365"
"2025","4","Corrientes","226,5","17.192"
"2025","4","Entre Ríos","0","43.308"
"2025","4","Entre Ríos","1","3.589"
"2025","4","Entre Ríos","2","4.304"
"2025","4","Entre Ríos","3","5.059"
"2025","4","Entre Ríos","4","1.383"
"2025","4","Entre Ríos","5","4.876"
"2025","4","Entre Ríos","0,5","18"
"2025","4","Entre Ríos","6","11.840"
"2025","4","Entre Ríos","7","399"
"2025","4","Entre Ríos","8","2.409"
"2025","4","Entre Ríos","10","56.178"
"2025","4","Entre Ríos","12","1.480"
"2025","4","Entre Ríos","15","5.223"
"2025","4","Entre Ríos","16","1"
"2025","4","Entre Ríos","20","11.787"
"2025","4","Entre Ríos","25","678"
"2025","4","Entre Ríos","30","13.530"
"2025","4","Entre Ríos","3,5","384"
"2025","4","Entre Ríos","50","17.045"
"2025","4","Entre Ríos","0,51","86"
"2025","4","Entre Ríos","58","1"
"2025","4","Entre Ríos","0,75","108"
"2025","4","Entre Ríos","100","51.704"
"2025","4","Entre Ríos","150","6.263"
"2025","4","Entre Ríos","200","318"
"2025","4","Entre Ríos","300","76.852"
"2025","4","Entre Ríos","400","1"
"2025","4","Entre Ríos","500","2.438"
"2025","4","Entre Ríos","600","434"
"2025","4","Entre Ríos","800","77"
"2025","4","Entre Ríos","978","75"
"2025","4","Entre Ríos","980","75"
"2025","4","Entre Ríos","1000","632"
"2025","4","Entre Ríos","1108","68"
"2025","4","Entre Ríos","1158","86"
"2025","4","Entre Ríos","1680","94"
"2025","4","Entre Ríos","226,5","19.338"
"2025","4","Formosa","0","887"
"2025","4","Formosa","1","72"
"2025","4","Formosa","2","1.205"
"2025","4","Formosa","3","9.422"
"2025","4","Formosa","4","3.608"
"2025","4","Formosa","0,5","49"
"2025","4","Formosa","5","857"
"2025","4","Formosa","6","4.160"
"2025","4","Formosa","7","603"
"2025","4","Formosa","8","117"
"2025","4","Formosa","10","12.955"
"2025","4","Formosa","12","992"
"2025","4","Formosa","15","732"
"2025","4","Formosa","18","63"
"2025","4","Formosa","20","1.951"
"2025","4","Formosa","25","105"
"2025","4","Formosa","30","1.827"
"2025","4","Formosa","35","3"
"2025","4","Formosa","40","39"
"2025","4","Formosa","50","1.865"
"2025","4","Formosa","0,51","35"
"2025","4","Formosa","80","50"
"2025","4","Formosa","100","10.795"
"2025","4","Formosa","200","155"
"2025","4","Formosa","300","19.986"
"2025","4","Formosa","400","4"
"2025","4","Formosa","500","526"
"2025","4","Formosa","600","41"
"2025","4","Formosa","1000","155"
"2025","4","Formosa","226,5","12.782"
"2025","4","Jujuy","0","1.445"
"2025","4","Jujuy","1","981"
"2025","4","Jujuy","2","982"
"2025","4","Jujuy","3","943"
"2025","4","Jujuy","4","2.887"
"2025","4","Jujuy","0,5","26"
"2025","4","Jujuy","5","5.080"
"2025","4","Jujuy","6","928"
"2025","4","Jujuy","7","10"
"2025","4","Jujuy","8","403"
"2025","4","Jujuy","10","14.308"
"2025","4","Jujuy","12","22.759"
"2025","4","Jujuy","15","1.872"
"2025","4","Jujuy","18","258"
"2025","4","Jujuy","20","1.407"
"2025","4","Jujuy","25","1.105"
"2025","4","Jujuy","30","1.874"
"2025","4","Jujuy","35","10"
"2025","4","Jujuy","36","1"
"2025","4","Jujuy","50","32.572"
"2025","4","Jujuy","0,51","32"
"2025","4","Jujuy","75","1"
"2025","4","Jujuy","100","39.128"
"2025","4","Jujuy","165","1"
"2025","4","Jujuy","300","16.258"
"2025","4","Jujuy","500","340"
"2025","4","Jujuy","512","200"
"2025","4","Jujuy","600","1.168"
