provincia,departamento,sector,ambito,Localizacion,ElectricidadSi,ElectricidadRedpública,ElectricidadGrupoelectrógeno,ElectricidadPanelfotovoltaicosolar,ElectricidadGeneradoreólico,ElectricidadGeneradorhidráulico,ElectricidadOtro,EquipamientoEstablecimientoTelevisor,EquipamientoEstablecimientoSistemamultimediaoCañón,EquipamientoEstablecimientoScanner,EquipamientoEstablecimientoWebcam,EquipamientoEstablecimientoReproductordeCD,EquipamientoEstablecimientoReproductordeDVD,EquipamientoEstablecimientoImpresora,EquipamientoEstablecimientoEquipoemisorderadioAMFM,EquipamientoEstablecimientoEquiporeceptorderadioAMFM,EquipamientoEstablecimientoServidorparausoescolar,EquipamientoEstablecimientoImpresora3D,EquipamientoEstablecimientoEquipodeSonido,EquipamientoEstablecimientoPizarrasdigitales,EquipamientoBibliotecaTelevisor,EquipamientoBibliotecaSistemamultimediaoCañón,EquipamientoBibliotecaScanner,EquipamientoBibliotecaEquipamientoBibliotecaWebcam,EquipamientoBibliotecaReproductordeCD,EquipamientoBibliotecaReproductordeDVD,EquipamientoBibliotecaImpresora,EquipamientoBibliotecaEquipoemisorderadioAMFM,EquipamientoBibliotecaEquiporeceptorderadioAMFM,EquipamientoBibliotecaServidorparausoescolar,InternetTipodeservicioGratuito,InternetTipodeservicioPago,InternetTipodeconexiónTelefónica,InternetTipodeconexiónADSL,InternetTipodeconexiónCableMódem,InternetTipodeconexiónSatelital,InternetTipodeconexiónOtroTipo,InternetTipodeconexiónMóvil,EspaciosconconexiónEneláreadeadministración,EspaciosconconexiónEnlasaulas,EspaciosconconexiónEnlabibliotecas,EspaciosconconexiónEnotroespaciodelestablecimiento,EspaciosconconexiónEnellaboratorio,CooperadoraConpersoneríajurídica,CooperadoraSinpersoneríajurídica,CooperadoraNo,SistemadeGestiónEscolarSi,SistemadeGestiónEscolarProvistoporelMinisterio,SistemadeGestiónEscolarDesarrolladoporterceros,SistemadeGestiónEscolarEncargadoporelEstablecimiento,SistemadeGestiónEscolarPlanilladeCalculo,DisponedesalaolaboratoriodeinformáticaSi,LaboratorioFuncionaesespacioexclusivoSi,BibliotecaDisponedealmenosunaSi,BibliotecaFuncionaesespacioexclusivoSi,SubvenciónEstatalJardínMaternalSi,SubvenciónEstatalJardíndeInfantesSi,SubvenciónEstatalPrimariaSi,SubvenciónEstatalSecundariaSi,SubvenciónEstatalSNUSi
Buenos Aires,SAN ANDRES DE GILES,Estatal,Rural,36,36,36,,,,,,28,28,15,6,23,27,32,20,,4,1,27,10,5,2,,,3,7,1,2,,,11,13,1,1,10,10,4,,21,16,4,8,1,20,11,5,8,6,,,2,3,,20,10,,,,,
Buenos Aires,SAN ANDRES DE GILES,Estatal,Urbano,30,30,30,,,,,,23,17,11,8,16,17,23,12,,2,2,20,4,5,3,1,3,4,5,4,,,,3,19,2,3,14,5,1,1,21,14,7,11,2,15,3,12,6,5,,,1,7,3,19,13,,,,,
Buenos Aires,SAN ANDRES DE GILES,Privado,Urbano,9,8,8,,,,,,8,7,2,2,5,4,8,6,,,,7,,,,,,,,,,,,,8,1,1,6,1,,,7,6,2,8,3,1,,7,5,2,2,1,,2,2,2,1,1,1,2,3,
Buenos Aires,SAN ANTONIO DE ARECO,Estatal,Rural,17,17,17,,,,,,14,13,6,1,9,10,13,5,,1,1,12,3,5,5,,1,5,5,3,3,,,7,3,2,,4,4,2,,8,6,3,6,,4,9,4,7,6,,,1,2,,12,10,,,,,
Buenos Aires,SAN ANTONIO DE ARECO,Estatal,Urbano,31,31,31,,,,,,25,24,13,5,23,19,27,21,,11,2,25,5,9,12,1,1,12,9,4,8,,3,9,17,4,1,14,4,4,1,22,15,12,12,5,5,20,6,12,12,,,,9,6,27,19,,,,,
Buenos Aires,SAN ANTONIO DE ARECO,Privado,Urbano,7,7,7,,,,,,6,7,7,7,7,6,7,5,,,,7,1,5,5,,3,4,4,,3,,,,7,,,4,1,2,,7,7,5,5,6,,1,6,4,,2,1,1,6,6,6,5,,1,1,1,1
Buenos Aires,SAN CAYETANO,Estatal,Rural,9,9,9,,,,,,7,8,5,3,7,4,8,3,,5,,8,5,3,5,2,2,4,3,3,2,,3,8,1,,,4,4,,1,4,8,4,4,,2,6,1,8,8,,,,,,5,3,,,,,
Buenos Aires,SAN CAYETANO,Estatal,Urbano,10,10,10,,,,,,8,9,7,3,6,4,8,4,,3,1,7,5,3,4,1,1,2,1,2,2,,1,9,1,,2,4,3,,4,9,9,7,7,4,5,3,2,9,9,,,,5,3,10,5,,,,,
Buenos Aires,SAN FERNANDO,Estatal,Rural,27,27,24,8,1,,,1,17,16,10,7,14,17,15,11,,,2,19,8,7,1,,,5,5,1,5,,,7,,1,,3,3,1,,6,6,3,4,,13,5,9,13,11,,,2,6,4,18,9,,,,,
Buenos Aires,SAN FERNANDO,Estatal,Urbano,72,72,71,1,,,,,56,61,25,13,33,43,58,25,,7,3,57,20,24,20,4,5,11,15,5,6,,4,56,3,15,3,43,3,5,7,57,32,19,16,8,22,16,34,42,35,,,7,21,13,63,43,,,,,
Buenos Aires,SAN FERNANDO,Privado,Urbano,67,65,65,1,1,,,,51,58,48,43,53,42,63,28,,12,11,57,9,11,9,12,12,11,9,19,5,,1,1,64,12,10,49,4,3,6,65,52,34,43,36,,,66,42,12,21,8,1,45,35,46,31,4,21,14,16,1
Buenos Aires,SAN ISIDRO,Estatal,Urbano,95,89,89,,,,,,76,70,44,23,57,58,79,35,,19,7,77,25,33,15,1,1,19,24,5,8,,2,76,8,10,3,71,2,5,8,84,59,42,44,43,37,18,35,45,40,1,1,3,48,35,79,62,,,,,
Buenos Aires,SAN ISIDRO,Privado,Urbano,185,178,178,6,4,,,,143,165,134,138,157,143,176,77,,46,13,167,62,42,49,21,38,57,51,46,19,,10,1,176,19,26,145,7,13,27,177,145,94,135,129,2,,176,111,27,53,23,8,128,118,120,90,7,25,26,26,5
Buenos Aires,SAN MIGUEL,Estatal,Urbano,126,123,123,,2,,,,94,100,49,21,65,74,101,45,,9,8,96,40,33,31,6,4,27,27,13,18,,3,83,15,19,10,65,3,10,7,94,41,34,25,13,48,47,29,60,54,1,1,4,28,16,109,75,,,,,
Buenos Aires,SAN MIGUEL,Privado,Urbano,145,136,135,6,3,,1,,110,113,89,81,104,102,132,65,,23,1,130,22,20,23,4,16,21,16,17,13,,5,1,130,49,16,85,8,10,22,129,93,49,87,89,1,,135,81,36,23,14,8,87,79,83,58,8,39,35,38,3
Buenos Aires,SAN NICOLAS,Estatal,Rural,6,6,6,,,,,,5,5,1,2,3,2,3,,,,,4,5,3,3,1,2,1,1,,,,,,2,,,2,,,,2,,,,,2,1,3,2,1,,,1,2,,5,3,,,,,
Buenos Aires,SAN NICOLAS,Estatal,Urbano,104,104,104,,,,,,79,89,39,16,65,61,91,54,,6,8,85,45,37,29,4,2,24,25,12,23,,2,28,49,13,6,47,13,8,6,77,26,32,22,22,54,36,14,48,40,1,,7,40,28,86,68,,,,,
Buenos Aires,SAN NICOLAS,Privado,Urbano,57,57,57,,,,,,48,50,43,34,48,43,57,34,,17,5,55,7,10,11,6,6,14,11,9,5,,4,,56,11,11,42,2,2,6,56,44,20,40,31,,,57,33,18,6,5,4,29,25,33,23,6,17,16,17,4
Buenos Aires,SAN PEDRO,Estatal,Rural,40,40,40,,,,,,27,28,10,3,13,15,29,24,,1,1,26,18,7,3,1,,2,3,3,4,,1,4,7,4,,4,4,1,1,9,4,1,2,1,22,10,8,7,6,1,,,5,1,16,4,,,,,
Buenos Aires,SAN PEDRO,Estatal,Urbano,47,47,46,,,,,1,42,37,13,7,26,33,44,26,,4,4,39,6,15,8,1,1,7,10,4,7,,,25,12,12,4,18,2,5,2,35,9,12,7,3,24,14,9,21,19,1,1,,8,4,41,29,,,,,
Buenos Aires,SAN PEDRO,Privado,Urbano,13,13,13,1,,,,,10,11,7,5,11,8,12,7,,,1,13,,1,2,2,1,3,2,4,1,,,3,10,2,5,8,,,1,13,10,7,6,5,,,13,3,3,,,,4,3,10,5,,3,4,4,1
Buenos Aires,SAN VICENTE,Estatal,Rural,10,10,10,,,,,,6,6,,,2,5,5,3,,1,,5,,3,1,,,,2,1,1,,,3,1,,,2,,1,1,3,1,1,2,,3,3,4,10,10,,,,2,,6,3,,,,,
Buenos Aires,SAN VICENTE,Estatal,Urbano,50,50,50,,,,,,40,36,7,8,19,26,33,19,,5,3,34,13,22,11,,2,11,13,2,3,,2,31,3,11,3,17,3,1,6,33,24,22,10,5,27,9,14,49,48,,,1,9,6,39,30,,,,,
Buenos Aires,SAN VICENTE,Privado,Urbano,17,15,14,,,,,1,12,12,6,10,11,11,14,6,,2,1,14,3,2,2,,1,2,2,2,1,,1,,15,6,2,11,1,,1,14,12,5,7,6,,,15,7,3,1,2,1,5,5,8,4,,2,2,4,
Buenos Aires,SUIPACHA,Estatal,Rural,16,16,15,,,,,1,9,12,3,1,6,4,11,5,,,,10,12,1,3,,,2,1,1,1,,,15,,2,,5,5,2,2,5,13,2,5,1,7,4,5,3,3,,,,5,1,10,3,,,,,
Buenos Aires,SUIPACHA,Estatal,Urbano,12,12,12,,,,,,7,8,1,3,7,7,8,4,,1,1,8,4,3,2,,,1,2,,1,,,12,,,1,3,2,3,3,9,9,5,5,3,5,3,4,4,3,,1,,2,,8,5,,,,,
Buenos Aires,SUIPACHA,Privado,Urbano,5,5,5,,,,,,2,5,3,3,5,5,5,4,,,,5,2,,3,,1,4,3,2,4,,,3,2,1,2,2,,,1,4,4,4,3,5,1,3,1,3,,1,2,,5,5,5,5,,,2,2,
Buenos Aires,TANDIL,Estatal,Rural,49,44,44,,1,,,,32,32,22,15,23,20,35,19,,7,3,35,13,8,6,3,2,5,5,6,4,,3,41,,2,3,13,22,5,1,25,36,12,18,5,22,6,16,12,9,,,3,10,5,30,13,,,,,
Buenos Aires,TANDIL,Estatal,Urbano,78,74,74,,3,,,,61,64,43,14,46,47,70,36,,13,6,65,23,23,16,6,3,9,15,11,6,,3,73,1,9,7,48,12,15,7,71,55,42,37,21,42,20,12,40,31,3,,6,26,16,62,49,,,,,
Buenos Aires,TANDIL,Privado,Urbano,48,36,36,,,,,,33,30,29,27,33,26,34,22,,6,1,34,6,9,6,5,5,10,7,8,3,,2,,35,13,2,26,,3,6,35,31,20,27,21,,,36,24,7,7,8,2,20,16,25,19,2,8,5,4,2
Buenos Aires,TAPALQUE,Estatal,Rural,26,26,19,1,7,,,,15,20,9,5,14,11,22,17,,4,,13,11,4,7,2,1,5,3,8,7,,1,4,4,2,,2,3,1,1,6,6,2,3,,19,1,6,3,2,,,1,2,,14,6,,,,,
Buenos Aires,TAPALQUE,Estatal,Urbano,13,13,11,1,1,,,,10,11,6,3,9,6,12,8,,4,1,7,5,7,6,2,1,5,5,4,5,,3,6,4,,,5,3,1,1,10,1,6,3,2,7,3,3,2,,,1,1,2,2,10,8,,,,,
Buenos Aires,TIGRE,Estatal,Rural,14,12,12,,,,,,4,5,3,1,4,5,7,2,,,,6,4,1,2,,,2,2,1,1,,,4,,,,,4,,,4,1,1,2,1,3,6,3,2,2,,,,,,5,1,,,,,
Buenos Aires,TIGRE,Estatal,Urbano,152,138,138,,,,,,96,112,52,26,59,63,118,55,,9,9,112,48,37,36,4,4,21,26,14,16,,1,102,12,37,7,73,5,12,11,111,57,39,29,16,69,32,37,68,54,6,1,7,26,13,108,80,,,,,
Buenos Aires,TIGRE,Privado,Urbano,167,163,163,8,1,,,1,126,136,125,120,117,94,159,63,,38,9,156,44,29,31,15,30,38,32,30,13,,8,1,160,34,23,97,13,15,22,160,123,72,116,97,,,165,86,26,40,16,4,93,86,100,66,4,37,22,25,
Buenos Aires,TORDILLO,Estatal,Rural,10,10,9,1,1,,,,3,8,4,,4,2,9,4,,1,,7,2,,3,1,,1,2,1,,,,5,,1,,2,2,1,1,4,5,2,1,,4,3,3,1,1,,,,1,,7,4,,,,,
Buenos Aires,TORNQUIST,Estatal,Rural,26,26,26,1,,,,,20,20,10,2,17,12,22,13,,2,2,11,12,2,5,1,,4,3,5,2,,,20,3,2,1,9,4,8,1,15,20,8,8,3,18,7,1,14,14,,,,6,,17,7,,,,,
Buenos Aires,TORNQUIST,Estatal,Urbano,16,16,16,,,,,,13,14,10,4,11,11,14,9,,3,4,13,6,5,5,2,,5,6,5,3,,,11,3,1,,12,1,2,1,14,12,9,11,5,10,6,,15,12,1,,2,6,4,13,7,,,,,
Buenos Aires,TRENQUE LAUQUEN,Estatal,Rural,52,51,51,,,,,,30,31,14,6,22,18,31,19,,5,2,26,4,7,9,2,1,3,4,6,3,,3,31,10,1,,12,20,5,4,13,35,9,15,5,26,7,18,5,4,1,,,5,1,34,8,,,,,
Buenos Aires,TRENQUE LAUQUEN,Estatal,Urbano,37,37,36,1,,,,,30,30,17,7,22,23,31,16,,6,2,27,8,20,14,2,2,12,15,6,8,,5,5,24,11,1,16,5,1,3,28,8,14,4,2,23,7,7,13,10,,,3,8,4,35,28,,,,,
Buenos Aires,TRENQUE LAUQUEN,Privado,Urbano,14,14,14,,,,,,11,10,7,8,9,6,13,6,,3,,13,2,5,5,4,4,6,4,5,4,,1,,13,6,1,7,1,,4,13,13,7,8,5,1,,13,11,7,3,1,,7,6,9,7,1,4,3,2,
Buenos Aires,TRES ARROYOS,Estatal,Rural,31,31,31,1,,,,,19,26,12,7,17,17,28,19,,3,2,21,15,3,5,3,1,1,1,4,2,,,18,3,2,,12,6,1,4,16,17,3,6,3,10,13,8,9,9,,,,3,1,11,5,,,,,
Buenos Aires,TRES ARROYOS,Estatal,Urbano,53,53,53,,,,,,42,37,17,13,35,32,48,31,,11,2,43,22,21,6,2,5,17,16,14,11,,7,45,5,6,3,32,6,7,3,50,33,26,20,12,29,16,8,24,22,1,1,,15,9,38,32,,,,,
Buenos Aires,TRES ARROYOS,Privado,Urbano,14,14,14,,,,,,14,13,11,9,14,13,14,8,,4,5,14,3,12,2,3,2,6,5,9,4,,2,1,13,,1,10,,2,3,14,8,13,8,12,1,2,11,10,2,6,2,,12,10,14,11,4,6,6,5,
Buenos Aires,TRES DE FEBRERO,Estatal,Urbano,157,157,155,,,,,2,130,108,79,40,84,79,144,65,,34,12,131,53,55,44,10,11,32,37,17,18,,11,120,17,19,11,100,12,10,12,137,81,47,41,26,65,43,49,81,77,1,,3,55,34,119,71,,,,,
Buenos Aires,TRES DE FEBRERO,Privado,Urbano,117,117,116,2,3,1,,1,97,101,81,73,101,86,115,61,,24,9,116,19,34,23,12,20,45,39,25,17,,3,3,112,27,22,76,3,5,19,115,80,55,85,79,,,117,69,27,19,17,6,82,76,79,58,12,41,36,33,4
Buenos Aires,TRES LOMAS,Estatal,Rural,9,9,9,,,,,,7,7,3,2,6,3,6,5,,3,1,6,5,,2,,,1,1,1,1,,,6,3,,,1,6,2,,5,6,2,3,1,5,2,2,4,4,,,,1,1,6,3,,,,,
Buenos Aires,TRES LOMAS,Estatal,Urbano,10,10,10,,,,,,7,8,3,1,7,3,8,5,,1,1,7,4,1,1,,1,2,1,,,,1,6,4,1,,3,6,1,,8,4,2,3,1,3,4,3,6,6,,,,2,1,8,4,,,,,
Buenos Aires,VICENTE LOPEZ,Estatal,Urbano,98,95,95,,1,1,,,74,80,47,30,62,52,85,48,,13,7,85,29,28,23,4,4,18,18,12,13,,5,75,17,21,3,75,2,7,11,91,63,39,40,32,31,26,38,52,41,9,1,1,37,24,72,48,,,,,
Buenos Aires,VICENTE LOPEZ,Privado,Urbano,156,153,153,11,,,,,123,134,113,123,134,118,149,68,,32,18,144,52,31,36,20,32,45,38,40,21,,8,,153,15,14,135,7,17,19,153,132,76,120,98,1,2,150,93,14,58,17,4,96,80,92,70,8,23,23,27,3
Buenos Aires,VILLA GESELL,Estatal,Urbano,21,21,21,,,,,,16,14,4,,3,7,20,9,,2,2,12,3,9,2,,,1,3,1,3,,1,20,1,11,6,9,,3,3,21,16,10,10,3,15,3,3,12,12,,,,5,1,15,11,,,,,
Buenos Aires,VILLA GESELL,Privado,Urbano,13,13,13,,,,,,12,11,11,10,10,7,13,11,,3,,13,1,2,1,,,3,3,,3,,1,1,12,5,5,6,2,1,1,13,9,3,9,7,,,13,8,5,2,1,,5,5,7,5,,4,5,4,
Buenos Aires,VILLARINO,Estatal,Rural,39,39,35,,4,,,,26,30,19,5,18,18,27,17,,2,1,21,20,7,7,1,,6,5,3,5,,,17,1,,,7,5,7,1,12,16,8,6,1,14,8,17,12,11,,,1,9,4,21,9,,,,,
Buenos Aires,VILLARINO,Estatal,Urbano,29,29,29,,,,,,24,27,10,8,20,20,23,16,,2,3,26,11,13,11,3,3,9,11,6,5,,1,22,6,4,2,20,,5,3,27,15,12,7,6,18,5,6,16,14,,,2,9,5,21,13,,,,,
Buenos Aires,ZARATE,Estatal,Rural,16,16,13,3,,,,,15,12,7,4,11,8,11,9,,5,,9,2,3,3,3,1,2,,3,3,,1,5,,,,1,4,,,4,2,,1,1,6,3,7,4,3,,,1,6,2,11,4,,,,,
Buenos Aires,ZARATE,Estatal,Urbano,80,79,77,3,1,,,,61,60,20,10,35,38,66,36,,8,10,66,31,16,11,1,1,8,11,3,6,,2,43,15,13,4,40,4,6,1,58,30,17,15,7,38,14,27,30,29,,,1,17,11,61,47,,,,,
Buenos Aires,ZARATE,Privado,Urbano,35,34,34,,,,,,25,29,24,25,27,22,34,19,,7,5,31,4,6,7,3,8,8,7,6,5,,2,,34,8,7,23,,1,6,34,30,15,27,19,,,34,20,6,6,5,3,19,16,24,15,,11,5,6,1
Catamarca,AMBATO,Estatal,Rural,36,36,36,,,,,,21,19,8,4,12,14,21,13,,3,1,33,10,6,4,1,1,4,5,2,3,,,24,,,,2,23,,,9,18,2,4,3,,18,18,2,2,,,,7,4,19,6,,,,,
Catamarca,ANCASTI,Estatal,Rural,42,42,42,1,,,,,24,27,18,5,24,19,28,15,,17,4,30,14,4,7,3,2,5,6,7,3,,4,29,,,,2,25,2,,18,23,,14,,,13,29,1,1,,,,7,,22,4,,,,,
Catamarca,ANDALGALA,Estatal,Rural,38,37,34,2,1,,,,20,18,8,5,13,14,23,9,,5,,19,9,4,4,3,2,2,3,4,1,,2,10,1,,1,3,7,,,8,5,,3,1,,8,30,,,,,,6,3,21,5,,,,,
Catamarca,ANDALGALA,Estatal,Urbano,16,15,15,,,,,,9,11,6,2,8,8,13,7,,1,,13,7,2,3,1,,2,2,3,1,,,7,,3,1,1,2,,,6,2,1,,,2,1,12,1,,1,,,10,4,13,6,,,,,
Catamarca,ANTOFAGASTA DE LA SIERRA,Estatal,Rural,12,11,6,2,4,,,,9,7,7,2,6,5,8,3,,4,,7,6,3,3,3,1,3,2,3,1,,1,5,,,,,5,,,3,2,1,4,1,,4,7,,,,,,1,,5,3,,,,,
Catamarca,BELEN,Estatal,Rural,104,100,86,2,13,,,,54,49,26,18,39,39,62,22,,16,1,56,33,17,5,,2,7,9,6,2,,2,43,1,5,2,6,29,3,1,34,28,11,21,10,,19,85,10,10,,,,27,11,55,22,,,,,
Catamarca,BELEN,Estatal,Urbano,19,19,19,,,,,,11,12,9,5,7,8,11,6,,1,2,13,10,8,6,,1,5,6,2,3,,1,,12,4,1,6,1,,,12,1,3,,2,,5,14,4,4,,,,10,8,12,9,,,,,
Catamarca,CAPAYAN,Estatal,Rural,52,52,52,,,,,,33,32,15,13,29,19,34,18,,4,2,34,12,6,6,4,4,5,4,6,3,,,36,,,,,34,2,,23,23,1,10,5,1,3,48,3,3,,,,18,5,40,9,,,,,
Catamarca,CAPAYAN,Estatal,Urbano,15,15,15,,,,,,9,12,6,2,9,8,10,7,,2,,11,7,1,2,1,,1,2,1,1,,,10,1,,,2,9,,,6,5,2,2,3,,1,14,,,,,,5,4,11,4,,,,,
Catamarca,CAPITAL,Estatal,Urbano,107,107,107,,,,,,66,88,28,18,48,43,78,36,,6,5,95,36,24,25,6,2,18,16,15,17,,2,64,10,10,8,29,20,14,5,63,56,37,39,30,2,22,83,16,14,1,1,,33,28,93,67,,,,,
Catamarca,CAPITAL,Privado,Urbano,24,24,24,,,,,,18,23,18,15,17,16,24,4,,3,2,23,6,5,6,3,4,5,5,6,1,,,,24,10,14,10,,2,2,24,13,13,15,13,,1,23,6,1,3,2,,16,16,22,18,,11,11,12,6
Catamarca,EL ALTO,Estatal,Rural,55,54,53,,,,,2,32,31,12,9,23,25,32,15,,14,,31,20,10,10,4,4,8,10,11,5,,5,26,1,,1,2,23,2,,18,18,,11,,1,17,36,1,1,,,,11,1,28,6,,,,,
Catamarca,Enmascarado,Privado,Urbano,13,13,13,,,,,,12,12,10,4,12,10,11,2,,1,,13,1,10,9,1,3,7,7,3,1,,1,,12,7,4,5,,1,1,11,7,5,9,3,,,13,2,1,1,,,6,6,12,8,,9,9,8,1
Catamarca,FRAY MAMERTO ESQUIU,Estatal,Rural,13,13,13,,,,,,9,7,5,3,9,9,9,4,,2,2,7,2,1,2,,1,1,2,2,,,,4,2,,,,5,,1,4,3,2,4,3,,6,7,4,2,2,,,2,2,12,4,,,,,
Catamarca,FRAY MAMERTO ESQUIU,Estatal,Urbano,15,15,15,,,,,,10,12,5,5,11,8,11,8,,,2,11,8,3,5,,,3,3,1,2,,,11,1,,,4,5,2,2,8,8,6,4,6,,3,12,5,4,1,,,7,5,13,8,,,,,
Catamarca,LA PAZ,Estatal,Rural,81,81,81,,,,,,47,45,19,10,38,36,44,29,,9,5,44,26,10,8,5,3,8,8,8,8,,2,46,1,1,,2,38,9,1,26,35,6,18,4,,10,71,9,9,,,,13,4,49,9,,,,,
Catamarca,LA PAZ,Estatal,Urbano,17,17,17,,,,,,11,13,5,2,6,5,12,4,,2,,11,6,2,3,1,1,1,1,1,1,,1,11,1,,1,2,4,4,1,9,10,2,4,2,1,4,12,1,1,,,,3,2,8,4,,,,,
Catamarca,PACLIN,Estatal,Rural,35,35,35,,,,,,29,16,8,2,19,16,19,12,,3,2,30,9,3,4,1,,1,,2,1,,,10,,,,1,10,,,8,10,4,6,1,,9,26,2,1,1,,,6,,14,4,,,,,
Catamarca,POMAN,Estatal,Rural,32,32,27,,5,,,,18,23,9,3,13,12,18,10,,12,1,23,14,6,5,2,3,4,3,4,3,,1,20,,,,3,16,,2,13,8,1,5,2,,13,19,3,3,,,,11,4,20,5,,,,,
Catamarca,POMAN,Estatal,Urbano,11,11,11,,,,,,10,9,4,2,6,5,9,5,,2,1,9,5,5,4,1,,4,4,3,3,,,4,,,,1,3,,,4,1,1,1,2,,3,8,,,,,,3,3,8,5,,,,,
Catamarca,SANTA MARIA,Estatal,Rural,63,62,46,3,14,,,1,26,30,14,5,30,28,31,9,,9,1,37,20,3,7,5,1,8,9,6,3,,1,22,1,,2,3,21,1,,17,13,5,10,1,,14,49,2,2,,,,16,6,30,9,,,,,
Catamarca,SANTA MARIA,Estatal,Urbano,23,22,22,,,,,,16,18,8,4,13,12,16,4,,2,1,16,6,7,5,1,1,6,6,2,,,,2,10,9,2,3,3,,,12,4,5,3,3,,8,14,1,1,,,,6,4,18,11,,,,,
Catamarca,SANTA ROSA,Estatal,Rural,36,36,36,,,,,,24,25,12,4,17,17,28,15,,6,2,25,9,5,4,,,2,4,3,2,,,15,2,,,3,14,,,10,13,2,2,,1,9,26,2,1,1,,,6,1,18,7,,,,,
Catamarca,SANTA ROSA,Estatal,Urbano,7,7,7,,,,,,4,5,4,1,3,3,6,5,,1,,4,2,2,2,,,,,,1,,1,3,1,,,1,,3,,4,1,1,1,,,2,5,,,,,,3,2,5,3,,,,,
Catamarca,TINOGASTA,Estatal,Rural,64,64,60,1,4,,,,41,27,19,19,25,17,32,25,,9,7,44,20,8,4,1,2,4,4,7,8,,3,22,1,2,,1,21,,1,15,15,6,7,8,,11,53,3,3,,,,15,9,39,22,,,,,
Catamarca,TINOGASTA,Estatal,Urbano,24,24,24,,,,,,16,20,10,1,11,8,19,13,,2,2,19,12,7,8,1,,2,3,5,4,,,1,5,,1,4,1,,1,6,2,1,3,1,,6,18,1,,1,,,10,7,21,13,,,,,
Catamarca,VALLE VIEJO,Estatal,Rural,16,16,16,,,,,,9,8,4,,8,8,9,4,,4,,11,4,3,2,2,,2,3,2,1,,3,4,,,1,1,1,,1,4,4,2,2,2,,1,15,,,,,,4,3,9,3,,,,,
Catamarca,VALLE VIEJO,Estatal,Urbano,25,25,25,,,,,,17,19,5,1,15,9,19,10,,7,,21,11,7,5,2,,5,3,3,3,,5,11,2,1,2,4,6,2,2,10,6,4,9,6,,3,22,1,1,,,,11,9,20,11,,,,,
Chaco,1§ DE MAYO,Estatal,Rural,17,17,17,,,,,,9,14,3,2,5,6,11,7,,,,11,7,1,2,1,,1,1,2,,,,4,1,1,,1,2,1,,5,3,3,2,,2,6,9,4,3,,,1,1,,6,5,,,,,
Chaco,1§ DE MAYO,Estatal,Urbano,9,9,9,,,,,,5,6,3,1,1,4,7,2,,,,6,2,3,1,1,1,1,2,2,,,,1,,,,,1,,,1,1,1,,,,5,4,4,3,1,,,4,2,3,3,,,,,
Chaco,12 DE OCTUBRE,Estatal,Rural,29,28,28,,,,,,11,23,8,4,9,7,23,11,,2,,14,11,,1,,,,1,,1,,,11,1,1,,1,8,1,2,8,9,3,2,2,,24,5,7,7,,,,5,1,11,7,,,,,
Chaco,12 DE OCTUBRE,Estatal,Urbano,20,20,20,,,,,,16,16,7,2,5,4,18,8,,,2,15,13,5,3,2,1,1,1,4,1,,,4,7,,,5,4,3,,11,7,4,6,2,1,16,3,8,4,2,2,,5,5,12,9,,,,,
Chaco,2 DE ABRIL,Estatal,Rural,13,13,13,,,,,,6,3,3,1,4,3,12,4,,3,,5,5,2,1,1,,1,2,1,2,,1,5,,,,,3,2,,3,3,2,2,,1,7,5,1,1,,,,1,,6,4,,,,,
Chaco,2 DE ABRIL,Estatal,Urbano,9,9,9,,,,,,6,6,3,1,4,4,8,3,,,1,6,4,,,,,,,1,,,,3,3,1,,1,3,1,,5,2,2,4,2,1,7,1,2,1,,,1,3,3,3,3,,,,,
Chaco,25 DE MAYO,Estatal,Rural,37,35,35,,,,,,15,18,9,4,10,9,21,8,,2,,18,9,1,2,1,,,1,2,,,,2,,,,,,2,,2,1,,,,4,15,18,2,2,,,,,,11,5,,,,,
Chaco,25 DE MAYO,Estatal,Urbano,23,23,23,,,,,,12,17,7,2,9,7,14,4,,,,16,9,4,3,2,,1,1,3,1,,,5,3,,1,2,4,1,,8,6,2,3,,3,10,10,6,5,,1,,4,2,12,10,,,,,
Chaco,9 DE JULIO,Estatal,Rural,35,35,35,,,,,,28,24,11,7,14,18,29,22,,2,1,25,18,3,,,,1,3,2,4,,,1,,,,,1,,,1,,,1,,9,19,7,5,5,,,,2,,11,6,,,,,
Chaco,9 DE JULIO,Estatal,Urbano,25,25,25,,,,,,17,18,9,3,16,14,20,14,,5,1,21,11,10,6,4,1,4,5,9,4,,2,12,6,2,,15,2,1,3,18,12,10,10,10,3,17,5,7,5,,,2,10,9,13,13,,,,,
Chaco,ALMIRANTE BROWN,Estatal,Rural,47,44,22,1,21,,,1,30,33,9,7,16,13,32,15,,19,1,27,9,5,2,,1,2,3,4,3,,1,23,1,,,2,20,2,,5,20,,5,,2,27,18,14,13,,,1,7,3,8,6,,,,,
Chaco,ALMIRANTE BROWN,Estatal,Urbano,43,42,40,,1,,,1,23,32,16,7,13,8,30,13,,2,3,27,12,11,4,1,1,3,2,6,3,,,5,15,,2,4,4,6,4,20,7,8,6,4,8,20,15,9,4,,1,4,9,8,19,13,,,,,
Chaco,ALMIRANTE BROWN,Privado,Urbano,6,6,6,,,,,,4,4,3,1,2,3,4,1,,,,4,,2,2,2,1,2,3,3,1,,,,4,,,3,,1,,4,1,1,1,1,,2,4,1,,,,1,3,2,4,2,,2,1,3,
